"Sample","N","Mean Length (m)","SD Length (m)","Mean Area (m2)","SD Area (m2)"
"All segments",2392,154.835572742475,127.497644990208,844.910758551365,1112.56912398022
"Observed segments",2201,155.706283507497,128.920062010603,847.619549988701,1111.51521319119
"Analytic focal segments",1640,170.695079268293,139.576063538371,950.845072850169,1215.94376174255
