"Graffiti Types","Null Mean MHI","P Value","Observed MHI Value","Scenario","Error Rate","Replicate","Deficit (%)"
"Masterpiece vs SITS",0.352225746322806,0.005,0.249849226784429,"Adjacent boundary only",0.05,19,29.0655980169466
"Tag vs SITS",0.822597693771216,0.005,0.750268052277537,"Adjacent boundary only",0.05,19,8.79283300225193
"Masterpiece vs Tag",0.290081759427502,0.005,0.16236313946894,"Adjacent boundary only",0.05,20,44.0284905230251
"Masterpiece vs SITS",0.340358039882918,0.005,0.224949909097809,"Adjacent boundary only",0.05,20,33.9078609175235
"Tag vs SITS",0.822816284234809,0.005,0.743552863980276,"Adjacent boundary only",0.05,20,9.63318565434638
"Masterpiece vs Tag",0.339209184438137,0.005,0.221579260348732,"Adjacent boundary only",0.1,1,34.677694321351
"Masterpiece vs SITS",0.384317850142142,0.005,0.284808841104034,"Adjacent boundary only",0.1,1,25.8923724207199
"Tag vs SITS",0.843564296110243,0.005,0.797167440426855,"Adjacent boundary only",0.1,1,5.50009713513589
"Masterpiece vs Tag",0.349712227159599,0.005,0.235296383941822,"Adjacent boundary only",0.1,2,32.7171412183882
"Masterpiece vs SITS",0.394943484369555,0.005,0.307182359534363,"Adjacent boundary only",0.1,2,22.2211856400884
"Tag vs SITS",0.843311465288019,0.005,0.798938369173047,"Adjacent boundary only",0.1,2,5.26176839061677
"Masterpiece vs Tag",0.353160781582463,0.005,0.232925354949823,"Adjacent boundary only",0.1,3,34.0455205965629
"Masterpiece vs SITS",0.397068167039775,0.005,0.29853551884566,"Adjacent boundary only",0.1,3,24.81504597276
"Tag vs SITS",0.843357945208458,0.005,0.802895775202279,"Adjacent boundary only",0.1,3,4.79774575387185
"Masterpiece vs Tag",0.335095793519439,0.005,0.223123418390892,"Adjacent boundary only",0.1,4,33.4150345346103
"Masterpiece vs SITS",0.378453887340259,0.005,0.27929070848196,"Adjacent boundary only",0.1,4,26.2021826635761
"Tag vs SITS",0.844002755830722,0.005,0.801340053396472,"Adjacent boundary only",0.1,4,5.05480605833557
"Masterpiece vs Tag",0.340927591087748,0.005,0.222447179793541,"Adjacent boundary only",0.1,5,34.7523680662481
"Masterpiece vs SITS",0.386085748653381,0.005,0.289891629538259,"Adjacent boundary only",0.1,5,24.9152214114701
"Tag vs SITS",0.843255054847361,0.005,0.797292987343186,"Adjacent boundary only",0.1,5,5.45055345235903
"Masterpiece vs Tag",0.344447070932763,0.005,0.236811675540299,"Adjacent boundary only",0.1,6,31.2487474783822
"Masterpiece vs SITS",0.390839800815667,0.005,0.299119602386948,"Adjacent boundary only",0.1,6,23.4674662706569
"Tag vs SITS",0.841846092629537,0.005,0.795839834330431,"Adjacent boundary only",0.1,6,5.46492508570104
"Masterpiece vs Tag",0.360036956448895,0.005,0.244931987737069,"Adjacent boundary only",0.1,7,31.9703204490798
"Masterpiece vs SITS",0.407545810130297,0.005,0.31922508810253,"Adjacent boundary only",0.1,7,21.6713605765031
"Tag vs SITS",0.841693468480895,0.005,0.78899518236575,"Adjacent boundary only",0.1,7,6.26098313561296
"Masterpiece vs Tag",0.363515409923527,0.005,0.270174577677233,"Adjacent boundary only",0.1,8,25.6772697107751
"Masterpiece vs SITS",0.410019404629931,0.005,0.348684581123237,"Adjacent boundary only",0.1,8,14.9590050651511
"Tag vs SITS",0.841290725197318,0.005,0.790084824476411,"Adjacent boundary only",0.1,8,6.08658804706269
"Masterpiece vs Tag",0.34437217177479,0.005,0.231875900247758,"Adjacent boundary only",0.1,9,32.6670621924123
"Masterpiece vs SITS",0.38813703911913,0.005,0.288695118843784,"Adjacent boundary only",0.1,9,25.6203119653375
"Tag vs SITS",0.845178167503576,0.005,0.807609771604305,"Adjacent boundary only",0.1,9,4.44502678177766
"Masterpiece vs Tag",0.353271038504124,0.005,0.229134082107111,"Adjacent boundary only",0.1,10,35.1392961400553
"Masterpiece vs SITS",0.399213511606963,0.005,0.296187576682318,"Adjacent boundary only",0.1,10,25.8072264412928
"Tag vs SITS",0.841841665183178,0.005,0.793677350486214,"Adjacent boundary only",0.1,10,5.72130326745994
"Masterpiece vs Tag",0.341765431934021,0.005,0.234120708194545,"Adjacent boundary only",0.1,11,31.496668089082
"Masterpiece vs SITS",0.387266191474853,0.005,0.309507383183824,"Adjacent boundary only",0.1,11,20.0789043822529
"Tag vs SITS",0.841407636954356,0.005,0.795339721004811,"Adjacent boundary only",0.1,11,5.4751007628476
"Masterpiece vs Tag",0.342432527283222,0.005,0.222682327915181,"Adjacent boundary only",0.1,12,34.9704510602747
"Masterpiece vs SITS",0.387802841074581,0.005,0.291431803648746,"Adjacent boundary only",0.1,12,24.8505238277255
"Tag vs SITS",0.843647680064258,0.005,0.796825999575776,"Adjacent boundary only",0.1,12,5.54990923283474
"Masterpiece vs Tag",0.345394811522747,0.005,0.228381060678894,"Adjacent boundary only",0.1,13,33.8782595858845
"Masterpiece vs SITS",0.389822782780325,0.005,0.299488211307095,"Adjacent boundary only",0.1,13,23.1732406271738
"Tag vs SITS",0.843359457730208,0.005,0.799478991122161,"Adjacent boundary only",0.1,13,5.20305620644206
"Masterpiece vs Tag",0.353707956630904,0.005,0.237655994427526,"Adjacent boundary only",0.1,14,32.810107894881
"Masterpiece vs SITS",0.400168561258874,0.005,0.303197606806069,"Adjacent boundary only",0.1,14,24.2325269500802
"Tag vs SITS",0.841314510907946,0.005,0.799352385658637,"Adjacent boundary only",0.1,14,4.98768590167589
"Masterpiece vs Tag",0.328505925057814,0.005,0.220514055203346,"Adjacent boundary only",0.1,15,32.8736444663707
"Masterpiece vs SITS",0.372646118661435,0.005,0.292224288846182,"Adjacent boundary only",0.1,15,21.5812873897983
"Tag vs SITS",0.843707234832436,0.005,0.795682967031072,"Adjacent boundary only",0.1,15,5.6920535724578
"Masterpiece vs Tag",0.35761118255466,0.005,0.248934751466928,"Adjacent boundary only",0.1,16,30.3895505479953
"Masterpiece vs SITS",0.403966170296329,0.005,0.308555588037079,"Adjacent boundary only",0.1,16,23.6184584935075
"Tag vs SITS",0.842184975750385,0.005,0.792691912105505,"Adjacent boundary only",0.1,16,5.87674502276436
"Masterpiece vs Tag",0.342939198689458,0.005,0.218142902545314,"Adjacent boundary only",0.1,17,36.3902104574377
"Masterpiece vs SITS",0.386506995710471,0.005,0.283431627449049,"Adjacent boundary only",0.1,17,26.6684353466748
"Tag vs SITS",0.844288959561084,0.005,0.808285880397525,"Adjacent boundary only",0.1,17,4.26430770601044
"Masterpiece vs Tag",0.339961131838254,0.005,0.235600763498639,"Adjacent boundary only",0.1,18,30.6977352897119
"Masterpiece vs SITS",0.384804168891342,0.005,0.294771781637167,"Adjacent boundary only",0.1,18,23.3969365543951
"Tag vs SITS",0.841747461123726,0.005,0.791092835309259,"Adjacent boundary only",0.1,18,6.01779371533166
"Masterpiece vs Tag",0.349658826150866,0.005,0.223106490616896,"Adjacent boundary only",0.1,19,36.1930905411687
"Masterpiece vs SITS",0.395333116600811,0.005,0.295148181091159,"Adjacent boundary only",0.1,19,25.3419031451427
"Tag vs SITS",0.840304764129589,0.005,0.79443435662139,"Adjacent boundary only",0.1,19,5.45878227356143
"Masterpiece vs Tag",0.332144754372052,0.005,0.210863065205627,"Adjacent boundary only",0.1,20,36.514708593161
"Masterpiece vs SITS",0.376078278554789,0.005,0.278561292640984,"Adjacent boundary only",0.1,20,25.9299702946281
"Tag vs SITS",0.844502760209335,0.005,0.797701393038427,"Adjacent boundary only",0.1,20,5.54188445272896
"Masterpiece vs Tag",0.388132974710112,0.005,0.282319121897142,"Adjacent boundary only",0.15,1,27.2622682708163
"Masterpiece vs SITS",0.426124880052448,0.005,0.348195470392526,"Adjacent boundary only",0.15,1,18.2879276258946
"Tag vs SITS",0.859961143758146,0.005,0.826840636636987,"Adjacent boundary only",0.15,1,3.85139577079241
"Masterpiece vs Tag",0.386074545090398,0.005,0.286234397206198,"Adjacent boundary only",0.15,2,25.8603290876954
"Masterpiece vs SITS",0.42596946823885,0.005,0.366720066171148,"Adjacent boundary only",0.15,2,13.9093072357196
"Tag vs SITS",0.856840767014466,0.005,0.828352875273877,"Adjacent boundary only",0.15,2,3.32475914280447
"Masterpiece vs Tag",0.364104649924174,0.005,0.249239106569325,"Adjacent boundary only",0.15,3,31.5473980842515
"Masterpiece vs SITS",0.402009637377299,0.005,0.315655186269418,"Adjacent boundary only",0.15,3,21.4806917742708
"Tag vs SITS",0.858757808738489,0.005,0.832711679762916,"Adjacent boundary only",0.15,3,3.03300053991178
"Masterpiece vs Tag",0.373079027510928,0.005,0.265790694922001,"Adjacent boundary only",0.15,4,28.7575351808765
"Masterpiece vs SITS",0.412719814838158,0.005,0.325411815054977,"Adjacent boundary only",0.15,4,21.1543029058145
