"Log Transformations","Graffiti Types","Observed MHI Value","Mean Permutated MHI","SD Permutated MHI","P Value"
"No Transformation","Masterpiece vs Other",0.0579266006844217,0.388622620775286,0.0285637978008459,"< 0.001"
"No Transformation","Masterpiece vs SITS",0.233839333917532,0.385884231178455,0.0280999269069422,"< 0.001"
"No Transformation","Masterpiece vs Tag",0.168626741917644,0.400018857100272,0.0260286505536651,"< 0.001"
"No Transformation","SITS vs Other",0.253939734729203,0.827679329379606,0.0105967175666177,"< 0.001"
"No Transformation","SITS vs Tag",0.721657237037056,0.879980976886996,0.00688048256304115,"< 0.001"
"No Transformation","Tag vs Other",0.281217620613697,0.892013024499106,0.00626875520242137,"< 0.001"
"Square Root Transformation","Masterpiece vs Other",0.0954959518422657,0.289028992916945,0.0127240970895223,"< 0.001"
"Square Root Transformation","Masterpiece vs SITS",0.178535056439811,0.290997563585497,0.0130681136438643,"< 0.001"
"Square Root Transformation","Masterpiece vs Tag",0.142366550112541,0.269976060291207,0.00899100656806249,"< 0.001"
"Square Root Transformation","SITS vs Other",0.476288637393802,0.774468278458959,0.0067702127671806,"< 0.001"
"Square Root Transformation","SITS vs Tag",0.718002420029383,0.822465657674268,0.00491143716580096,"< 0.001"
"Square Root Transformation","Tag vs Other",0.5141117665251,0.841979609844091,0.00453551693883963,"< 0.001"
"Log Transformation + 0.5","Masterpiece vs Other",0.0978314271150231,0.271600175626131,0.0115101241653023,"< 0.001"
"Log Transformation + 0.5","Masterpiece vs SITS",0.156760434474422,0.275846525680459,0.0120585098487709,"< 0.001"
"Log Transformation + 0.5","Masterpiece vs Tag",0.117404643102342,0.229494174325155,0.00698515520469678,"< 0.001"
"Log Transformation + 0.5","SITS vs Other",0.500436852661887,0.760502485368413,0.00729673003807953,"< 0.001"
"Log Transformation + 0.5","SITS vs Tag",0.685575445587047,0.785160380467324,0.00577215746709237,"< 0.001"
"Log Transformation + 0.5","Tag vs Other",0.540033771822292,0.808618165911526,0.00535567478787287,"< 0.001"
"Log Transformation + 1","Masterpiece vs Other",0.0936589423765551,0.285860798996202,0.0125566503686627,"< 0.001"
"Log Transformation + 1","Masterpiece vs SITS",0.162777606964192,0.289963829220778,0.0130952067892369,"< 0.001"
"Log Transformation + 1","Masterpiece vs Tag",0.118043192236178,0.242221369280851,0.00777675496133602,"< 0.001"
"Log Transformation + 1","SITS vs Other",0.488795190401366,0.772347987811174,0.00712773163060859,"< 0.001"
"Log Transformation + 1","SITS vs Tag",0.68829230519046,0.794420850515603,0.00561050550142131,"< 0.001"
"Log Transformation + 1","Tag vs Other",0.525129995128834,0.817066874902446,0.00523169174325793,"< 0.001"
