"Log Transformations","Graffiti Types","Observed MHI Value","Mean Permutated MHI","SD Permutated MHI","P Value"
"Log Transformation + 1","illustration vs tag",0.523803446183598,0.651942116999491,0.00840153035621955,"< 0.001"
"Log Transformation + 1","illustration vs throw up",0.357144979778874,0.448552121704556,0.017500120366837,"< 0.001"
"Log Transformation + 1","masterpiece vs slogan",0.218623813429664,0.323186416862483,0.0227533449709986,"< 0.001"
"Log Transformation + 1","masterpiece vs stencil",0.152454836165394,0.294931922867369,0.0296363767257883,"< 0.001"
"Log Transformation + 1","masterpiece vs tag",0.118043192236178,0.252355665458408,0.00873812712014547,"< 0.001"
"Log Transformation + 1","masterpiece vs throw up",0.27024717543858,0.302113201980965,0.0281318340928827,"0.138"
"Log Transformation + 1","slogan vs stencil",0.250747561284212,0.409967494174835,0.0208665612960654,"< 0.001"
"Log Transformation + 1","slogan vs tag",0.403415586269531,0.533466811882556,0.0089765173411581,"< 0.001"
"Log Transformation + 1","slogan vs throw up",0.32598844228752,0.431296608501291,0.0205013903724404,"< 0.001"
"Log Transformation + 1","stencil vs tag",0.225641612013089,0.351067090316123,0.0094832156294059,"< 0.001"
"Log Transformation + 1","stencil vs throw up",0.267923648781537,0.365830339414872,0.0252792646956761,"< 0.001"
"Log Transformation + 1","tag vs throw up",0.265914940628438,0.381325873409703,0.00988769989140139,"< 0.001"
