"Log Transformations","Graffiti Types","Observed MHI Value","Mean Permutated MHI","SD Permutated MHI","P Value"
"No Transformation","illustration vs masterpiece",0.210818607980628,0.40003862838576,0.033921232535427,"< 0.001"
"No Transformation","illustration vs slogan",0.431278392103432,0.640009064169419,0.0236257833722427,"< 0.001"
"No Transformation","illustration vs stencil",0.289081176295206,0.503188208996406,0.0292704338195583,"< 0.001"
"No Transformation","illustration vs tag",0.592751151918425,0.811641099628347,0.0117877259044857,"< 0.001"
"No Transformation","illustration vs throw up",0.399533310642345,0.52918082528053,0.029150203492405,"< 0.001"
"No Transformation","masterpiece vs slogan",0.213189568527168,0.377593128172086,0.0361354422635237,"< 0.001"
"No Transformation","masterpiece vs stencil",0.137750925170961,0.324582287088115,0.0413898689973235,"< 0.001"
"No Transformation","masterpiece vs tag",0.168626741917644,0.432450163582547,0.0288107687618737,"< 0.001"
"No Transformation","masterpiece vs throw up",0.237866435505518,0.336001244961038,0.0397571273591441,"0.008"
"No Transformation","slogan vs stencil",0.21982040596878,0.470363439383421,0.0329614160329371,"< 0.001"
"No Transformation","slogan vs tag",0.485227817421279,0.727184889761018,0.0158207441796055,"< 0.001"
"No Transformation","slogan vs throw up",0.263781879567887,0.491304266529157,0.0327562855032155,"< 0.001"
"No Transformation","stencil vs tag",0.275601917805256,0.556325578894591,0.0231815775720085,"< 0.001"
"No Transformation","stencil vs throw up",0.249860059313449,0.407641755128207,0.0368421369320983,"< 0.001"
"No Transformation","tag vs throw up",0.361949815039079,0.587970714795165,0.0236788711648594,"< 0.001"
"Square Root Transformation","illustration vs masterpiece",0.178621652682307,0.316535728565922,0.0180976353242418,"< 0.001"
"Square Root Transformation","illustration vs slogan",0.437558928042229,0.554923416621608,0.0149549090109407,"< 0.001"
"Square Root Transformation","illustration vs stencil",0.263091319953866,0.413746593090855,0.0168053512021505,"< 0.001"
"Square Root Transformation","illustration vs tag",0.562568012695247,0.697228802866783,0.00751028142118532,"< 0.001"
"Square Root Transformation","illustration vs throw up",0.355076643844419,0.440244137383817,0.0169680480812573,"< 0.001"
"Square Root Transformation","masterpiece vs slogan",0.215527593696114,0.313564991399898,0.0217156946546734,"< 0.001"
"Square Root Transformation","masterpiece vs stencil",0.145077739283321,0.285258663618888,0.0280344698195548,"< 0.001"
"Square Root Transformation","masterpiece vs tag",0.142366550112541,0.284825583623551,0.0101190302572931,"< 0.001"
"Square Root Transformation","masterpiece vs throw up",0.274537828071462,0.292200842134383,0.0267398512266976,"0.245"
"Square Root Transformation","slogan vs stencil",0.247765523088942,0.398529214950241,0.0200176985334538,"< 0.001"
"Square Root Transformation","slogan vs tag",0.439542722243619,0.58156242759007,0.00848075584527209,"< 0.001"
"Square Root Transformation","slogan vs throw up",0.315688138439817,0.419808855999439,0.0196779288389198,"< 0.001"
"Square Root Transformation","stencil vs tag",0.250692486037285,0.392350355670141,0.00977376381426321,"< 0.001"
"Square Root Transformation","stencil vs throw up",0.264437212343721,0.353976038124076,0.0239942694805296,"< 0.001"
"Square Root Transformation","tag vs throw up",0.310129887034788,0.424466277493399,0.0100481720983363,"< 0.001"
"Log Transformation + 0.5","illustration vs masterpiece",0.168706740401571,0.308760018408825,0.0175948878571164,"< 0.001"
"Log Transformation + 0.5","illustration vs slogan",0.431335618653674,0.546459387451714,0.0151815739658555,"< 0.001"
"Log Transformation + 0.5","illustration vs stencil",0.255544170473388,0.405251262033959,0.0166291776991296,"< 0.001"
"Log Transformation + 0.5","illustration vs tag",0.519150171879292,0.637513911992466,0.00828927167920105,"< 0.001"
"Log Transformation + 0.5","illustration vs throw up",0.340113813962691,0.431867259359741,0.0169232592263207,"< 0.001"
"Log Transformation + 0.5","masterpiece vs slogan",0.214988264267444,0.310677041019317,0.02152956181247,"< 0.001"
"Log Transformation + 0.5","masterpiece vs stencil",0.147068779304983,0.286024579312386,0.0281151024244478,"< 0.001"
"Log Transformation + 0.5","masterpiece vs tag",0.117404643102342,0.238644029401948,0.00780417220677761,"< 0.001"
"Log Transformation + 0.5","masterpiece vs throw up",0.265335836831893,0.292552878343108,0.0267976658318284,"0.162"
"Log Transformation + 0.5","slogan vs stencil",0.248742831529551,0.395373878078896,0.0199521175599993,"< 0.001"
"Log Transformation + 0.5","slogan vs tag",0.397066963984112,0.516940342810409,0.00856442632397718,"< 0.001"
"Log Transformation + 0.5","slogan vs throw up",0.316557988560995,0.416587145390515,0.0196832911691936,"< 0.001"
"Log Transformation + 0.5","stencil vs tag",0.222886496848955,0.334899374587715,0.00875975641847388,"< 0.001"
"Log Transformation + 0.5","stencil vs throw up",0.260914033023365,0.354008964355359,0.0241097524685679,"< 0.001"
"Log Transformation + 0.5","tag vs throw up",0.2578178586925,0.364716043252148,0.00920473524492033,"< 0.001"
"Log Transformation + 1","illustration vs masterpiece",0.175147654934375,0.32313061251126,0.0187731823332364,"< 0.001"
"Log Transformation + 1","illustration vs slogan",0.437707482646325,0.563618082252433,0.0153657064815324,"< 0.001"
"Log Transformation + 1","illustration vs stencil",0.262086729895739,0.421610265256037,0.0173537663233692,"< 0.001"
