"graffiti_types_grouped","min","max","mean","sd","total","percentage"
"Masterpiece",0,12,0.109146341463415,0.673503948440548,179,1.36672520424525
"SITS",0,51,1.44817073170732,3.21239159178706,2375,18.1339237993434
"Tag",0,116,6.42865853658537,10.4846455923091,10543,80.4993509964114
